iter	CatBoostEvalMetricCustom	Logloss
276	0.7878514606	0.2522232197
277	0.787804816	0.2521572676
278	0.7880813822	0.252095995
279	0.7881631391	0.2520361773
280	0.7881515513	0.2519675379
281	0.788204993	0.2518907611
282	0.7880907036	0.2518296257
283	0.7882756446	0.2517431697
284	0.7883257657	0.2516877314
285	0.7882765707	0.2516356658
286	0.7882593361	0.2515739347
287	0.7882794307	0.2515036093
288	0.7882691633	0.2514306501
289	0.78861326	0.2513724106
290	0.7888298863	0.2513011815
291	0.7888449549	0.2512404788
292	0.7889963358	0.2511668123
293	0.7891402699	0.2511200425
294	0.7891228463	0.2510623794
295	0.7892696497	0.2510112548
296	0.7893863745	0.2509447429
297	0.789465732	0.250881641
298	0.7895526519	0.2508065173
299	0.7896718679	0.2507401294
300	0.7896868024	0.2506863891
301	0.7894126054	0.250630897
302	0.7895588713	0.2505748506
303	0.7898685377	0.2505182674
304	0.7894713532	0.250432037
305	0.7898141084	0.2503728907
306	0.7897362145	0.2503097239
307	0.7894608212	0.2502492299
308	0.7897048092	0.2501940119
309	0.7898462761	0.2501508235
310	0.7899630813	0.2500833627
311	0.7900770427	0.2500249929
312	0.7901220544	0.2499794158
313	0.7902736709	0.2499108106
314	0.7903244479	0.2498454046
315	0.7905391712	0.2497786233
316	0.790489625	0.2497224096
317	0.7902101168	0.2496742494
318	0.7904540469	0.2496238293
319	0.7906299302	0.2495749357
320	0.7906773216	0.2495214184
321	0.7907592577	0.2494588562
322	0.7906119697	0.2494048305
323	0.7905925796	0.2493608887
324	0.7908639179	0.2493247724
325	0.7909803578	0.2492523398
326	0.7909971036	0.2491946461
327	0.7912133532	0.2491295411
328	0.7914558896	0.2490761506
329	0.7914455714	0.2490053931
330	0.7914289998	0.2489452127
331	0.7913168983	0.2488861959
332	0.791531118	0.248814265
333	0.7916429056	0.2487689541
334	0.7915953032	0.248719314
335	0.7916421981	0.2486744338
336	0.7917573402	0.2486113867
337	0.791606393	0.2485619195
338	0.7915535881	0.2485101738
339	0.7916646845	0.2484628088
340	0.7918409641	0.2484199575
341	0.7922437918	0.2483748911
342	0.7923258493	0.2483193066
343	0.7923101593	0.2482620416
344	0.7921592967	0.2482208321
345	0.7923025312	0.2481783327
346	0.7922173597	0.2481367859
347	0.7925278456	0.2480787315
348	0.7926412893	0.2480280355
349	0.7928169623	0.2479846791
350	0.792699585	0.2479372054
351	0.7927803842	0.2478895365
352	0.7929855842	0.2478532466
353	0.7932942603	0.2477992099
354	0.7932171013	0.2477406004
355	0.7933271707	0.2476955915
356	0.793336828	0.2476585131
357	0.7933554245	0.247594132
358	0.793338781	0.2475359374
359	0.7934789317	0.2475038065
360	0.7934610849	0.2474503763
361	0.7938026862	0.2473947814
362	0.7936201003	0.2473492124
363	0.7937918771	0.2473067988
364	0.7939019902	0.2472710835
365	0.7938837343	0.2472123873
366	0.7938977462	0.2471680498
367	0.7937837672	0.2471141428
368	0.7937325112	0.2470741445
369	0.7937496887	0.2470071514
370	0.793828678	0.2469608317
371	0.7940421754	0.2469037219
372	0.7939923287	0.2468543523
373	0.7941421227	0.2467886079
374	0.7940577468	0.2467505458
375	0.7941720242	0.2466993172
376	0.7943857149	0.2466353973
377	0.7944342955	0.2465818385
378	0.7943807444	0.2465418901
379	0.794394913	0.2464870651
380	0.7945099337	0.2464236341
381	0.7946224619	0.246374437
382	0.7949680173	0.2463116231
383	0.7948590531	0.2462458382
384	0.7948697585	0.2462055992
385	0.7950510981	0.2461422326
386	0.7952247638	0.2461011889
387	0.7953078834	0.2460410191
388	0.7954225572	0.2459912329
389	0.7955371054	0.2459366911
390	0.7958772453	0.2458881257
391	0.7958903981	0.2458490778
392	0.7959704736	0.2458015496
393	0.7962155844	0.2457440757
394	0.796003037	0.2456982821
395	0.7960507021	0.2456507269
396	0.7961911956	0.2456164055
397	0.796141332	0.2455633902
398	0.7963834099	0.245521033
399	0.7962978167	0.2454869161
400	0.7962811957	0.2454364305
401	0.7963606237	0.2453963707
402	0.7962796658	0.2453459754
403	0.796456346	0.2452985071
404	0.7966317821	0.245254925
405	0.7967099532	0.2452063993
406	0.7967594451	0.2451525831
407	0.7967120825	0.2451013898
408	0.7967237076	0.2450619832
409	0.7967070175	0.245013826
410	0.7967599965	0.2449530005
411	0.7968359727	0.2449141641
412	0.797012375	0.244865259
413	0.7968648923	0.244822849
414	0.796843801	0.2447823959
415	0.7968255592	0.244735147
416	0.7970027656	0.2446921831
417	0.796885566	0.2446445295
418	0.7969967442	0.2446071441
419	0.7969451299	0.2445621316
420	0.7970272833	0.2445052364
421	0.7970461041	0.2444478978
422	0.797096489	0.2443897811
423	0.7971720983	0.2443524116
424	0.7972202727	0.2442964077
425	0.7973981491	0.2442355702
426	0.7976107706	0.2441831597
427	0.7975255695	0.2441449066
428	0.7974734799	0.2441073574
429	0.797484655	0.2440675792
430	0.7975993048	0.2440141178
431	0.7975477441	0.2439534803
432	0.7978213225	0.2439050164
433	0.7978683782	0.2438549882
434	0.7978809485	0.2438116312
435	0.7977669977	0.2437589117
436	0.7978467318	0.243708779
437	0.7978244724	0.2436798836
438	0.7977746596	0.2436321266
439	0.7978874304	0.2435850153
440	0.7978693888	0.2435298944
441	0.7980129915	0.2434845059
442	0.7983864728	0.2434282431
443	0.7984965704	0.2433880659
444	0.7983453523	0.2433478318
445	0.7983969771	0.2432897663
446	0.7985720168	0.243247493
447	0.7985611554	0.2431837444
448	0.7986751112	0.2431355383
449	0.7989252975	0.2430501713
450	0.7990084891	0.2429974036
451	0.7991212119	0.2429489628
452	0.7993601243	0.2429109134
453	0.7993751759	0.2428472665
454	0.7994220878	0.2427998593
455	0.7994396983	0.2427491563
456	0.799199153	0.2426915673
